Wall time,Step,Value
1589108332.8534753,0,2928199.75
1589108332.930239,2,2928404.0
1589108332.9929519,3,2931519.0
1589108333.060079,4,2928987.25
1589108333.1256216,5,2928645.0
1589108333.1933753,6,2929930.5
1589108333.260738,7,2926775.5
1589108333.331107,8,2931293.75
1589108333.3988757,9,2925490.5
1589108333.468809,10,2930543.5
1589108333.5361671,11,2924449.75
1589108333.6066246,12,2930835.0
1589108333.673239,13,2923475.5
1589108333.7446713,14,2931939.25
1589108333.812051,15,2922362.0
1589108333.8834617,16,2931025.75
1589108333.951053,17,2921118.0
1589108334.0235205,18,2928871.75
1589108334.0905132,19,2919988.25
1589108334.1615963,20,2928103.0
1589108334.2283142,21,2918672.25
1589108334.2996933,22,2927102.25
1589108334.3669734,23,2917424.5
1589108334.4388928,24,2926587.0
1589108334.5071738,25,2915999.5
1589108334.5797188,26,2927003.0
1589108334.6465077,27,2914159.0
1589108334.7196288,28,2924906.0
1589108334.7878306,29,2912562.0
1589108334.8602161,30,2924253.75
1589108334.92589,31,2911044.0
1589108334.999355,32,2921953.25
1589108335.0669453,33,2909790.5
1589108335.139805,34,2920049.0
1589108335.2072818,35,2908221.25
1589108335.281398,36,2919286.75
1589108335.3482323,37,2906234.25
1589108335.4224522,38,2917540.0
1589108335.4891586,39,2904676.5
1589108335.5626485,40,2916767.0
1589108335.6297035,41,2903086.75
1589108335.703695,42,2916491.5
1589108335.7690425,43,2901120.75
1589108335.8440382,44,2915810.5
1589108335.9089904,45,2899036.0
1589108335.9827993,46,2913616.5
1589108336.0495691,47,2897707.75
1589108336.1245768,48,2911878.0
1589108336.1898544,49,2896111.25
1589108336.264229,50,2910008.25
1589108336.328132,51,2894524.0
1589108336.404279,52,2908617.5
1589108336.4696577,53,2892952.75
1589108336.5441628,54,2906777.0
1589108336.6092267,55,2891192.5
1589108336.6841526,56,2905749.25
1589108336.7491088,57,2889901.5
1589108336.8240445,58,2904582.25
1589108336.8896997,59,2888088.0
1589108336.9660604,60,2903075.5
1589108337.031133,61,2886373.25
1589108337.1072257,62,2901874.5
1589108337.1719458,63,2884351.25
1589108337.2479718,64,2901402.5
1589108337.3128376,65,2882581.5
1589108337.3885896,66,2901359.0
1589108337.4539475,67,2881082.5
1589108337.5459523,68,2900741.5
1589108337.611309,69,2879610.5
1589108337.688025,70,2899731.0
1589108337.7541254,71,2877566.5
1589108337.8317456,72,2899359.5
1589108337.8961105,73,2875505.5
1589108337.9737926,74,2898907.25
1589108338.0387828,75,2874126.75
1589108338.1159153,76,2897538.25
1589108338.1801353,77,2872198.25
1589108338.2558491,78,2896515.5
1589108338.3206005,79,2870057.5
1589108338.3978271,80,2894720.5
1589108338.4612703,81,2868101.5
1589108338.538767,82,2893233.0
1589108338.6031978,83,2865967.5
1589108338.6806035,84,2890467.0
1589108338.7442307,85,2864323.0
1589108338.8227394,86,2889132.25
1589108338.8869936,87,2862450.5
1589108338.964515,88,2886680.75
1589108339.0273635,89,2860857.0
1589108339.106321,90,2884645.5
1589108339.171003,91,2858794.0
1589108339.2486887,92,2882601.5
1589108339.31183,93,2856653.25
1589108339.3897853,94,2880847.5
1589108339.4531233,95,2855025.25
1589108339.5322056,96,2877403.75
1589108339.5972788,97,2853157.75
1589108339.675557,98,2874731.0
1589108339.7414649,99,2850528.25
1589108339.8196654,100,2873004.25
1589108339.8826895,101,2848100.0
1589108339.962322,102,2871149.0
1589108340.025985,103,2846263.5
1589108340.1051373,104,2868981.5
1589108340.1678257,105,2844354.5
1589108340.2476003,106,2866995.75
1589108340.3108695,107,2842044.25
1589108340.3906412,108,2864535.75
1589108340.454241,109,2840162.5
1589108340.5335286,110,2861853.0
1589108340.5969357,111,2837510.75
1589108340.6760962,112,2859682.0
1589108340.7385862,113,2835717.0
1589108340.817581,114,2857278.5
1589108340.878608,115,2833344.75
1589108340.959627,116,2855646.0
1589108341.0236394,117,2830923.5
1589108341.1035972,118,2853727.25
1589108341.166727,119,2828692.0
1589108341.245717,120,2852447.25
1589108341.309624,121,2826683.0
1589108341.4090142,122,2850485.25
1589108341.4722314,123,2823932.0
1589108341.5535605,124,2849178.5
1589108341.6164289,125,2822127.25
1589108341.6966429,126,2846655.5
1589108341.7600057,127,2820045.0
1589108341.8413954,128,2844900.5
1589108341.9046562,129,2817935.25
1589108341.986735,130,2842622.75
1589108342.049154,131,2816559.25
1589108342.1313887,132,2839763.0
1589108342.194442,133,2812461.25
1589108342.2768335,134,2838253.5
1589108342.33812,135,2810270.5
1589108342.4198225,136,2836413.5
1589108342.4827385,137,2808169.5
1589108342.564474,138,2834982.0
1589108342.6259234,139,2806103.75
1589108342.7085044,140,2831624.0
1589108342.7700143,141,2803774.0
1589108342.853426,142,2831382.5
1589108342.9153597,143,2802169.0
1589108342.9968123,144,2827287.75
1589108343.0586972,145,2799667.0
1589108343.142454,146,2823947.75
1589108343.2046947,147,2797504.0
1589108343.2883656,148,2821033.75
1589108343.3506608,149,2796238.0
1589108343.4336967,150,2818446.25
1589108343.49605,151,2793647.5
1589108343.5802534,152,2813790.75
1589108343.6428645,153,2791013.25
1589108343.7297654,154,2810187.75
1589108343.7915175,155,2788703.0
1589108343.8756278,156,2806540.25
1589108343.937036,157,2786470.5
1589108344.0221334,158,2803756.5
1589108344.0847328,159,2783988.5
1589108344.1687684,160,2801152.25
1589108344.2303324,161,2781528.0
1589108344.3134398,162,2799443.0
1589108344.3751597,163,2779953.75
1589108344.4602334,164,2796644.25
1589108344.5210726,165,2777275.5
1589108344.605561,166,2793832.0
1589108344.667632,167,2775127.75
1589108344.751917,168,2791092.5
1589108344.8130906,169,2773679.5
1589108344.899078,170,2788460.5
1589108344.9834185,171,2771453.5
1589108345.0685182,172,2784304.75
1589108345.129997,173,2768763.25
1589108345.21528,174,2779820.25
1589108345.276912,175,2765796.25
1589108345.3626065,176,2778206.0
1589108345.424314,177,2763765.0
1589108345.511128,178,2774016.5
1589108345.5715766,179,2761771.5
1589108345.6588864,180,2770609.25
1589108345.7205465,181,2759569.75
1589108345.806487,182,2768387.5
1589108345.8681684,183,2756717.5
1589108345.9546635,184,2765150.25
1589108346.014701,185,2754608.5
1589108346.101498,186,2762251.5
